Provinsi di Indonesia,
,Jumlah Penduduk Menurut Provinsi di Indonesia (Ribu Jiwa)
,2019
Aceh,5316.3
Sumatera Utara,14639.4
Sumatera Barat,5479.5
Riau,6835.1
Kep. Riau,2241.6
Jambi,3566.2
Sumatera Selatan,8497.2
Kep. Bangka Belitung,1451.1
Bengkulu,1971.8
Lampung,8457.6
DKI Jakarta,10504.1
Jawa Barat,49023.2
Banten,12714.3
Jawa Tengah,34552.5
DI Yogyakarta,3868.6
Jawa Timur,39744.8
Kalimantan Barat,5045.7
Kalimantan Tengah,2649.8
Kalimantan Selatan,4216.3
Kalimantan Timur,3619.7
Kalimantan Utara,695.6
Sulawesi Utara,2494.1
Gorontalo,1176.4
Sulawesi Tengah,3042.1
Sulawesi Selatan,8819.5
Sulawesi Barat,1359.2
Sulawesi Tenggara,2663.7
Bali,4362
Nusa Tenggara Barat,5152.4
Nusa Tenggara Timur,5437.2
Maluku,1768.5
Maluku Utara,1235.7
Papua Barat,963.6
Papua,3347.1
Indonesia,266911.9